	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
48	abui-143_heart-1	abui	143_heart	t e b i k a m a ŋ	abui1241	abz	1223.0	HEART	143_heart-7	
49	abui-144_heavy-1	abui	144_heavy	t u h a i	abui1241	abz	1210.0	HEAVY	144_heavy-6	
50	abui-144_heavy-1	abui	144_heavy	t u h a i	abui1241	abz	1210.0	HEAVY	144_heavy-5	
52	abui-146_help-1	abui	146_help	n e t u l u ŋ	abui1241	abz	1897.0	HELP	146_help-4	
54	abui-148_hitdrum-1	abui	148_hitdrum	p a d a ŋ + h u w o r	abui1241	abz	111.0	DRUMMING	148_hitdrum-3	
55	abui-149_hole-1	abui	149_hole	l u k u l a	abui1241	abz	1667.0	HOLE	149_hole-6	
56	abui-14_back-1	abui	14_back	t e u i	abui1241	abz	1291.0	BACK	14_back-8	
58	abui-151_horn-1	abui	151_horn	h a ʔ m u k	abui1241	abz	1393.0	HORN (ANATOMY)	151_horn-2	
59	abui-152_hot-1	abui	152_hot	ʔ l i l a	abui1241	abz	1286.0	HOT	152_hot-8	
60	abui-153_house-1	abui	153_house	t o f a	abui1241	abz	1252.0	HOUSE	153_house-7	
61	abui-154_hungry-1	abui	154_hungry	m i r a i	abui1241	abz	1533.0	BE HUNGRY	154_hungry-7	
64	abui-157_itchy-1	abui	157_itchy	dʒ o k u ŋ	abui1241	abz	149.0	ITCHY	157_itchy-3	
65	abui-158_jackfruit-1	abui	158_jackfruit	s o ŋ	abui1241	abz	2655.0	JACKFRUIT	158_jackfruit-6	
67	abui-159_knee-1	abui	159_knee	t a ʔ b a b u k	abui1241	abz	1371.0	KNEE	159_knee-3	
68	abui-15_bad-1	abui	15_bad	b e a k a	abui1241	abz	1292.0	BAD	15_bad-4	
69	abui-160_knife-1	abui	160_knife	l u i	abui1241	abz	1352.0	KNIFE	160_knife-5	
70	abui-161_lake-1	abui	161_lake	w aː + t a k a t a	abui1241	abz	624.0	LAKE	161_lake-7	
71	abui-162_landsoil-1	abui	162_landsoil	a n a i	abui1241	abz	1228.0	EARTH (SOIL)	162_landsoil-7	
72	abui-163_lazy-1	abui	163_lazy	ʔ k i l i k i	abui1241	abz	1564.0	LAZY	163_lazy-7	
73	abui-164_leaf-1	abui	164_leaf	t a l a	abui1241	abz	628.0	LEAF	164_leaf-3	
74	abui-165_left-1	abui	165_left	t e i b i k i	abui1241	abz	244.0	LEFT	165_left-8	
75	abui-166_leg-1	abui	166_leg	t e t u k u	abui1241	abz	1297.0	LEG	166_leg-6	
76	abui-167_lietelluntruth-1	abui	167_lietelluntruth	o k o l i	abui1241	abz	601.0	LIE (MISLEAD)	167_lietelluntruth-1	
78	abui-168_liedown-1	abui	168_liedown	t a	abui1241	abz	215.0	LIE DOWN	168_liedown-0	
79	abui-168_liedown-1	abui	168_liedown	t a	abui1241	abz	215.0	LIE DOWN	168_liedown-0	
80	abui-169_light-1	abui	169_light	s i e r a i	abui1241	abz	630.0	LIGHT (RADIATION)	169_light-5	
81	abui-16_bamboo-1	abui	16_bamboo	m a i	abui1241	abz	1927.0	BAMBOO	16_bamboo-0	
82	abui-170_lightning-1	abui	170_lightning	a h a l a i	abui1241	abz	1654.0	LIGHTNING	170_lightning-6	
84	abui-171_lime-1	abui	171_lime	a w a i	abui1241	abz	2540.0	LIME (MATERIAL)	171_lime-0	
85	abui-172_lips-1	abui	172_lips	t a w a + k u l	abui1241	abz	478.0	LIP	172_lips-8	
86	abui-173_liver-1	abui	173_liver	t o m i	abui1241	abz	1224.0	LIVER	173_liver-3	
88	abui-175_long-1	abui	175_long	l o h u	abui1241	abz	1203.0	LONG	175_long-6	
89	abui-177_louseeggs-1	abui	177_louseeggs	b i k i a ŋ + t u l u ŋ	abui1241	abz	267.0	NIT	177_louseeggs-8	
90	abui-178_louseclothing-1	abui	178_louseclothing	b e	abui1241	abz	1392.0	LOUSE	178_louseclothing-7	
91	abui-179_lungs-1	abui	179_lungs	t e b o b o t i	abui1241	abz	688.0	LUNG	179_lungs-6	
92	abui-17_banana-1	abui	17_banana	m o s a	abui1241	abz	868.0	BANANA	17_banana-3	
94	abui-181_man-1	abui	181_man	n ẽ	abui1241	abz	1554.0	MAN	181_man-7	
96	abui-182_mango-1	abui	182_mango	m a i dʒ a	abui1241	abz	2398.0	MANGO	182_mango-5	
97	abui-183_marungga-1	abui	183_marungga	m a t o l i ŋ	abui1241	abz	3031.0	MORINGA TREE	183_marungga-2	
98	abui-184_mat-1	abui	184_mat	a d i k	abui1241	abz	195.0	MAT	184_mat-4	
100	abui-186_millet-1	abui	186_millet	k a l a	abui1241	abz	931.0	MILLET	186_millet-1	
101	abui-187_monitorlizard-1	abui	187_monitorlizard	l i t i	abui1241	abz	3017.0	MONITOR LIZARD	187_monitorlizard-0	
103	abui-189_morning-1	abui	189_morning	f a l aː k d a	abui1241	abz	1339.0	MORNING	189_morning-7	
105	abui-190_mosquito-1	abui	190_mosquito	k u i m a	abui1241	abz	1509.0	MOSQUITO	190_mosquito-5	
106	abui-191_mother-1	abui	191_mother	h e a	abui1241	abz	1216.0	MOTHER	191_mother-6	
109	abui-193_mountain-1	abui	193_mountain	b u k u + w a t i k a	abui1241	abz	639.0	MOUNTAIN	193_mountain-1	
110	abui-194_mouth-1	abui	194_mouth	t a w a	abui1241	abz	674.0	MOUTH	194_mouth-0	
111	abui-195_mud-1	abui	195_mud	d a k u ŋ	abui1241	abz	640.0	MUD	195_mud-6	
112	abui-196_name-1	abui	196_name	t a n e	abui1241	abz	1405.0	NAME	196_name-1	
113	abui-197_narrow-1	abui	197_narrow	k a r i a	abui1241	abz	1267.0	NARROW	197_narrow-8	
114	abui-198_navel-1	abui	198_navel	t a b i k	abui1241	abz	1838.0	NAVEL	198_navel-6	
115	abui-199_neck-1	abui	199_neck	t e r o l a	abui1241	abz	1333.0	NECK	199_neck-5	
117	abui-19_barnstoragehouse-1	abui	19_barnstoragehouse	k u d a ŋ	abui1241	abz	3025.0	BARN OR SHED	19_barnstoragehouse-8	
119	abui-1_coralreef-1	abui	1_coralreef	k a r a f i	abui1241	abz	660.0	REEF	1_coralreef-4	
121	abui-201_newhouse-1	abui	201_newhouse	t i f a	abui1241	abz	1231.0	NEW	201_newhouse-1	
122	abui-202_night-1	abui	202_night	t u ŋ t a m a	abui1241	abz	1233.0	NIGHT	202_night-4	
124	abui-204_nose-1	abui	204_nose	t a m i n f a	abui1241	abz	1221.0	NOSE	204_nose-4	
125	abui-205_oldpeople-1	abui	205_oldpeople	f i ŋ k a ŋ	abui1241	abz	2112.0	OLD (AGED)	205_oldpeople-6	
126	abui-206_oldwoman-1	abui	206_oldwoman	f i ŋ k a ŋ	abui1241	abz	907.0	OLD WOMAN	206_oldwoman-8	
127	abui-207_oldworn-1	abui	207_oldworn	m a k i l a	abui1241	abz	1229.0	OLD	207_oldworn-7	
128	abui-208_oldersibling-1	abui	208_oldersibling	n a n a	abui1241	abz	405.0	OLDER SIBLING	208_oldersibling-1	
129	abui-209_one-1	abui	209_one	n u k u	abui1241	abz	1493.0	ONE	209_one-0	
130	abui-20_bat-1	abui	20_bat	m a r e	abui1241	abz	1793.0	BAT	20_bat-0	
132	abui-211_onehundredthousand-1	abui	211_onehundredthousand	r i f i + a dʒ s a h a + n u k u	abui1241	abz	nan	nan	211_onehundredthousand-5	
133	abui-212_oven-1	abui	212_oven	d i k i ŋ	abui1241	abz	1143.0	OVEN	212_oven-6	
134	abui-213_papaya-1	abui	213_papaya	b a t a m i a	abui1241	abz	2445.0	PAPAYA	213_papaya-7	
135	abui-214_penis-1	abui	214_penis	p a l	abui1241	abz	1222.0	PENIS	214_penis-5	
136	abui-215_person-1	abui	215_person	a m a	abui1241	abz	683.0	PERSON	215_person-5	
138	abui-216_pig-1	abui	216_pig	f e	abui1241	abz	1337.0	PIG	216_pig-0	
139	abui-217_rain-1	abui	217_rain	a n u i	abui1241	abz	658.0	RAIN (PRECIPITATION)	217_rain-2	
140	abui-218_rainbow-1	abui	218_rainbow	h o	abui1241	abz	1733.0	RAINBOW	218_rainbow-8	
141	abui-219_raisedplatform-1	abui	219_raisedplatform	l i k	abui1241	abz	nan	nan	219_raisedplatform-5	
142	abui-21_bean-1	abui	21_bean	t a k o i	abui1241	abz	832.0	BEAN	21_bean-8	
145	abui-220_rat-1	abui	220_rat	r u i	abui1241	abz	1490.0	RAT	220_rat-0	
146	abui-221_rattan-1	abui	221_rattan	f u r a k	abui1241	abz	2497.0	RATTAN	221_rattan-4	
147	abui-222_red-1	abui	222_red	k i k	abui1241	abz	156.0	RED	222_red-3	
148	abui-223_rib-1	abui	223_rib	k a ʔ f a t a + b a t a	abui1241	abz	801.0	RIB	223_rib-7	
151	abui-226_right-1	abui	226_right	t e i k a ŋ	abui1241	abz	1019.0	RIGHT	226_right-5	
152	abui-227_ringworm-1	abui	227_ringworm	k a ʔ f i s i ŋ	abui1241	abz	3171.0	RINGWORM	227_ringworm-5	
153	abui-228_ripe-1	abui	228_ripe	s a n i	abui1241	abz	178.0	RIPE	228_ripe-4	
154	abui-229_river-1	abui	229_river	l u	abui1241	abz	666.0	RIVER	229_river-6	
155	abui-22_bedbug-1	abui	22_bedbug	t a m e a k	abui1241	abz	1949.0	BEDBUG	22_bedbug-1	
157	abui-230_roadpath-1	abui	230_roadpath	s a f o k o	abui1241	abz	2457.0	PATH OR ROAD	230_roadpath-5	
159	abui-231_roofthatch-1	abui	231_roofthatch	f i l e	abui1241	abz	2100.0	THATCH OR ROOF	231_roofthatch-2	
160	abui-232_root-1	abui	232_root	a i	abui1241	abz	670.0	ROOT	232_root-1	
161	abui-233_rope-1	abui	233_rope	ʔ t i l a	abui1241	abz	1218.0	ROPE	233_rope-8	
162	abui-234_rotten-1	abui	234_rotten	h a m u n i	abui1241	abz	1728.0	ROTTEN	234_rotten-0	
163	abui-235_rough-1	abui	235_rough	a h o i f a ŋ	abui1241	abz	1923.0	ROUGH	235_rough-7	
164	abui-236_rub-1	abui	236_rub	w e l u u k	abui1241	abz	1449.0	RUB	236_rub-6	
165	abui-237_run-1	abui	237_run	f u r e i	abui1241	abz	1519.0	RUN	237_run-4	
167	abui-23_betelnutareca-1	abui	23_betelnutareca	f u	abui1241	abz	217.0	BETELNUT	23_betelnutareca-0	
169	abui-241_sand-1	abui	241_sand	m a l a t a i	abui1241	abz	671.0	SAND	241_sand-5	
171	abui-243_scared-1	abui	243_scared	m i e l a ŋ	abui1241	abz	3033.0	SCARED	243_scared-8	
172	abui-244_scorpion-1	abui	244_scorpion	p e i	abui1241	abz	1538.0	SCORPION	244_scorpion-0	
173	abui-245_scratch-1	abui	245_scratch	k a f i	abui1241	abz	1436.0	SCRATCH	245_scratch-4	
174	abui-246_seasaltwater-1	abui	246_seasaltwater	t a m a	abui1241	abz	1474.0	SEA	246_seasaltwater-1	
175	abui-247_searchhuntfor-1	abui	247_searchhuntfor	t a h a i	abui1241	abz	1468.0	LOOK FOR	247_searchhuntfor-3	
176	abui-248_seed-1	abui	248_seed	b i k a	abui1241	abz	714.0	SEED	248_seed-7	
177	abui-249_sell-1	abui	249_sell	b a l i k	abui1241	abz	1571.0	SELL	249_sell-5	
178	abui-24_betelvine-1	abui	24_betelvine	ʔ m e t i ŋ	abui1241	abz	177.0	BETEL PEPPER VINE	24_betelvine-0	
181	abui-252_shark-1	abui	252_shark	k a s u w a i	abui1241	abz	1110.0	SHARK	252_shark-3	
182	abui-253_sharp-1	abui	253_sharp	b u l a	abui1241	abz	1396.0	SHARP	253_sharp-4	
183	abui-254_shine-1	abui	254_shine	t u l u ŋ	abui1241	abz	708.0	SHINE	254_shine-6	
185	abui-256_shootwithslingshot-1	abui	256_shootwithslingshot	h a t e k	abui1241	abz	3180.0	SHOOT (WITH SLINGSHOT)	256_shootwithslingshot-6	
187	abui-257_short-1	abui	257_short	b u i	abui1241	abz	1645.0	SHORT	257_short-3	
188	abui-258_shoulder-1	abui	258_shoulder	t a b a l	abui1241	abz	1482.0	SHOULDER	258_shoulder-8	
189	abui-259_shyashamed-1	abui	259_shyashamed	t a m i l e l a i	abui1241	abz	3805.0	SHY OR ASHAMED	259_shyashamed-5	
191	abui-25_big-1	abui	25_big	f o k o	abui1241	abz	1202.0	BIG	25_big-7	
192	abui-260_sickpainful-1	abui	260_sickpainful	h a r i k	abui1241	abz	2103.0	PAINFUL OR SICK	260_sickpainful-9	
194	abui-261_sit-1	abui	261_sit	m i t i	abui1241	abz	1416.0	SIT	261_sit-0	
195	abui-262_six-1	abui	262_six	t a ʔ l a m a	abui1241	abz	1703.0	SIX	262_six-0	
197	abui-264_sky-1	abui	264_sky	a h a l i ŋ t a m a	abui1241	abz	1732.0	SKY	264_sky-6	
198	abui-265_slave-1	abui	265_slave	m a i dʒ a	abui1241	abz	812.0	SLAVE	265_slave-7	
199	abui-266_small-1	abui	266_small	k i d i ŋ	abui1241	abz	1246.0	SMALL	266_small-7	
200	abui-267_smoke-1	abui	267_smoke	a r a + t i k a	abui1241	abz	778.0	SMOKE (EXHAUST)	267_smoke-1	
201	abui-268_smooth-1	abui	268_smooth	r u l a	abui1241	abz	1234.0	SMOOTH	268_smooth-2	
202	abui-269_snake-1	abui	269_snake	m o n	abui1241	abz	730.0	SNAKE	269_snake-2	
203	abui-26_bird-1	abui	26_bird	r u o + h a l i ŋ + t a m a	abui1241	abz	937.0	BIRD	26_bird-6	
204	abui-270_sorewound-1	abui	270_sorewound	n a m u	abui1241	abz	1109.0	WOUND	270_sorewound-4	
206	abui-272_spear-1	abui	272_spear	k a f a k	abui1241	abz	945.0	SPEAR	272_spear-0	
207	abui-273_spider-1	abui	273_spider	b a l a b a l a	abui1241	abz	843.0	SPIDER	273_spider-7	
208	abui-274_squatcrouch-1	abui	274_squatcrouch	l u k + ʔ b o	abui1241	abz	296.0	CROUCH	274_squatcrouch-2	
209	abui-275_squeeze-1	abui	275_squeeze	a dʒ a k	abui1241	abz	1414.0	SQUEEZE	275_squeeze-7	
210	abui-276_stab-1	abui	276_stab	t a k d a	abui1241	abz	1434.0	STAB	276_stab-1	
212	abui-277_stand-1	abui	277_stand	n a t e	abui1241	abz	1442.0	STAND	277_stand-3	
213	abui-278_star-1	abui	278_star	f i r	abui1241	abz	1430.0	STAR	278_star-3	
215	abui-27_bite-1	abui	27_bite	t a k e	abui1241	abz	1403.0	BITE	27_bite-1	
217	abui-281_stickpole-1	abui	281_stickpole	t u k o r a ŋ	abui1241	abz	1295.0	STICK	281_stickpole-7	
218	abui-282_stomach-1	abui	282_stomach	t o o k	abui1241	abz	819.0	STOMACH	282_stomach-1	
219	abui-283_stone-1	abui	283_stone	v iː	abui1241	abz	857.0	STONE	283_stone-0	
220	abui-284_straight-1	abui	284_straight	m u l a ŋ	abui1241	abz	1404.0	STRAIGHT	284_straight-10	
222	abui-286_sugarcane-1	abui	286_sugarcane	f a	abui1241	abz	146.0	SUGAR CANE	286_sugarcane-4	
223	abui-287_sun-1	abui	287_sun	w a r i	abui1241	abz	1343.0	SUN	287_sun-0	
224	abui-288_sweat-1	abui	288_sweat	t a m u r i ŋ	abui1241	abz	2458.0	PERSPIRE OR SWEAT	288_sweat-7	
225	abui-289_sweet-1	abui	289_sweet	r a l o ŋ	abui1241	abz	717.0	SWEET	289_sweet-4	
226	abui-28_bitter-1	abui	28_bitter	m a k a l i	abui1241	abz	887.0	BITTER	28_bitter-4	
227	abui-290_sweetpotato-1	abui	290_sweetpotato	b a l e	abui1241	abz	159.0	SWEET POTATO	290_sweetpotato-8	
228	abui-291_swell-1	abui	291_swell	w e p a t i a	abui1241	abz	1573.0	SWELL	291_swell-2	
229	abui-292_swim-1	abui	292_swim	t e u l a	abui1241	abz	1439.0	SWIM	292_swim-3	
231	abui-293_tail-1	abui	293_tail	h a ʔ w a i	abui1241	abz	1220.0	TAIL	293_tail-2	
232	abui-294_tall-1	abui	294_tall	l o h u	abui1241	abz	711.0	TALL	294_tall-7	
233	abui-295_taro-1	abui	295_taro	a h o	abui1241	abz	351.0	TARO	295_taro-7	
235	abui-297_teeth-1	abui	297_teeth	t a w e i t i	abui1241	abz	1380.0	TOOTH	297_teeth-0	
236	abui-298_ten-1	abui	298_ten	k a r + n u k u	abui1241	abz	1515.0	TEN	298_ten-3	
237	abui-299_tendon-1	abui	299_tendon	t e a i	abui1241	abz	1137.0	TENDON	299_tendon-0	
238	abui-29_black-1	abui	29_black	a k a n i	abui1241	abz	163.0	BLACK	29_black-0	
240	abui-301_thatch-1	abui	301_thatch	w a i	abui1241	abz	279.0	THATCH	301_thatch-0	
241	abui-302_thick-1	abui	302_thick	t a p a t i	abui1241	abz	1244.0	THICK	302_thick-4	
242	abui-303_thin-1	abui	303_thin	f o l i	abui1241	abz	2308.0	THIN	303_thin-4	
246	abui-307_three-1	abui	307_three	s u o	abui1241	abz	492.0	THREE	307_three-8	
247	abui-308_thunder-1	abui	308_thunder	a d i i + d a m a l a i + d i a	abui1241	abz	1150.0	THUNDER	308_thunder-8	
248	abui-309_tinea-1	abui	309_tinea	k a f i s i ŋ	abui1241	abz	1189.0	ULCER	309_tinea-7	
250	abui-310_tobark-1	abui	310_tobark	l o u	abui1241	abz	1206.0	BARKING	310_tobark-0	
251	abui-311_tobathe-1	abui	311_tobathe	d a w e l	abui1241	abz	138.0	BATHE	311_tobathe-0	
254	abui-314_tobreathe-1	abui	314_tobreathe	a h e l	abui1241	abz	1407.0	BREATHE	314_tobreathe-5	
255	abui-315_tobury-1	abui	315_tobury	n a b u k	abui1241	abz	1719.0	BURY	315_tobury-6	
256	abui-316_toclose-1	abui	316_toclose	w e h a i	abui1241	abz	1046.0	SHUT	316_toclose-2	
258	abui-318_tocook-1	abui	318_tocook	m a d e	abui1241	abz	1100.0	COOK (SOMETHING)	318_tocook-4	
259	abui-319_tocount-1	abui	319_tocount	h a l a k d a	abui1241	abz	1420.0	COUNT	319_tocount-4	
260	abui-31_blood-1	abui	31_blood	w e	abui1241	abz	946.0	BLOOD	31_blood-0	
261	abui-320_tocry-1	abui	320_tocry	f e l	abui1241	abz	1839.0	CRY	320_tocry-7	
262	abui-321_tocut-1	abui	321_tocut	h a w e k	abui1241	abz	1432.0	CUT	321_tocut-8	
263	abui-322_tocutdown-1	abui	322_tocutdown	t u k o ŋ	abui1241	abz	355.0	CUT DOWN	322_tocutdown-6	
264	abui-323_todance-1	abui	323_todance	t a h a i dʒ o k	abui1241	abz	1879.0	DANCE	323_todance-5	
265	abui-324_todie-1	abui	324_todie	m o ŋ	abui1241	abz	1494.0	DIE	324_todie-0	
266	abui-325_todig-1	abui	325_todig	t e u	abui1241	abz	1418.0	DIG	325_todig-5	
267	abui-326_todivide-1	abui	326_todivide	j e ŋ	abui1241	abz	1119.0	DIVIDE	326_todivide-8	
268	abui-327_todrink-1	abui	327_todrink	b u k	abui1241	abz	1401.0	DRINK	327_todrink-4	
269	abui-328_todrop-1	abui	328_todrop	n a + h a l i e h a i	abui1241	abz	750.0	DROP	328_todrop-8	
270	abui-329_toeat-1	abui	329_toeat	n e	abui1241	abz	1336.0	EAT	329_toeat-0	
272	abui-330_tofight-1	abui	330_tofight	t a l u k	abui1241	abz	1423.0	FIGHT	330_tofight-7	
274	abui-331_toflow-1	abui	331_toflow	t a v e l	abui1241	abz	2003.0	FLOW	331_toflow-3	
275	abui-332_tofold-1	abui	332_tofold	h a l u k	abui1241	abz	1470.0	FOLD	332_tofold-7	
276	abui-333_togive-1	abui	333_togive	h e d e	abui1241	abz	1447.0	GIVE	333_togive-1	
278	abui-334_toguard-1	abui	334_toguard	w e r e e	abui1241	abz	1940.0	GUARD	334_toguard-2	
280	abui-335_tohear-1	abui	335_tohear	m a h i a	abui1241	abz	1408.0	HEAR	335_tohear-3	
281	abui-336_tohit-1	abui	336_tohit	b o l	abui1241	abz	1433.0	HIT	336_tohit-8	
283	abui-337_tohold-1	abui	337_tohold	p u n a	abui1241	abz	1448.0	HOLD	337_tohold-0	
284	abui-337_tohold-1	abui	337_tohold	p u n a	abui1241	abz	1448.0	HOLD	337_tohold-0	
285	abui-337_tohold-1	abui	337_tohold	p u n a	abui1241	abz	1448.0	HOLD	337_tohold-0	
286	abui-337_tohold-1	abui	337_tohold	p u n a	abui1241	abz	1448.0	HOLD	337_tohold-0	
287	abui-338_tohunt-1	abui	338_tohunt	h a t a ŋ	abui1241	abz	1435.0	HUNT	338_tohunt-8	
289	abui-339_tokill-1	abui	339_tokill	f a h e ŋ	abui1241	abz	1417.0	KILL	339_tokill-4	
291	abui-33_blunt-1	abui	33_blunt	t o p i ŋ	abui1241	abz	379.0	BLUNT	33_blunt-8	
292	abui-340_toknow-1	abui	340_toknow	n o h i e n a	abui1241	abz	3626.0	KNOW	340_toknow-6	
294	abui-341_tolaugh-1	abui	341_tolaugh	t a ʔ l a l	abui1241	abz	1355.0	LAUGH	341_tolaugh-2	
296	abui-342_tolive-1	abui	342_tolive	n a r e	abui1241	abz	1422.0	BE ALIVE	342_tolive-6	
297	abui-343_toopen-1	abui	343_toopen	w e h a l i e l	abui1241	abz	1156.0	OPEN	343_toopen-8	
298	abui-344_toplant1-1	abui	344_toplant1	m u r o w	abui1241	abz	1486.0	PLANT (SOMETHING)	344_toplant1-0	
299	abui-345_toplant2-1	abui	345_toplant2	t a p e i	abui1241	abz	nan	nan	345_toplant2-0	
300	abui-346_toplay-1	abui	346_toplay	m u i l a	abui1241	abz	1413.0	PLAY	346_toplay-1	
301	abui-347_topound-1	abui	347_topound	t a p e	abui1241	abz	354.0	POUND	347_topound-2	
302	abui-348_topull-1	abui	348_topull	h a f i k	abui1241	abz	1455.0	PULL	348_topull-4	
303	abui-349_topush-1	abui	349_topush	h a s u o ŋ r a	abui1241	abz	1452.0	PUSH	349_topush-7	
304	abui-34_bodyhair-1	abui	34_bodyhair	a m u r i	abui1241	abz	189.0	HAIR (BODY)	34_bodyhair-0	
306	abui-351_tosee-1	abui	351_tosee	h e r e i	abui1241	abz	1409.0	SEE	351_tosee-9	
308	abui-352_tosing-1	abui	352_tosing	dʒ a i + w e t a ŋ a	abui1241	abz	1261.0	SING	352_tosing-4	
310	abui-354_tosmell-1	abui	354_tosmell	m o n u ŋ r a	abui1241	abz	1586.0	SMELL (PERCEIVE)	354_tosmell-5	
311	abui-355_tospeak-1	abui	355_tospeak	t a ŋ a	abui1241	abz	1623.0	SPEAK	355_tospeak-6	
312	abui-356_tospit-1	abui	356_tospit	p u i n a	abui1241	abz	1440.0	SPIT	356_tospit-0	
313	abui-357_tosplit-1	abui	357_tosplit	k a d e l	abui1241	abz	1437.0	SPLIT	357_tosplit-7	
314	abui-358_tosuck-1	abui	358_tosuck	m a r e k	abui1241	abz	1421.0	SUCK	358_tosuck-7	
315	abui-359_tothink-1	abui	359_tothink	t o m i p a ŋ	abui1241	abz	2271.0	THINK	359_tothink-7	
316	abui-35_bone-1	abui	35_bone	h e t a i p a	abui1241	abz	1394.0	BONE	35_bone-4	
317	abui-360_tothrow-1	abui	360_tothrow	h u o r	abui1241	abz	1456.0	THROW	360_tothrow-0	
318	abui-361_totie-1	abui	361_totie	k o d e	abui1241	abz	1917.0	TIE	361_totie-4	
